,attributes.capacitystatus,attributes.clockSpeed,attributes.currentGeneration,attributes.dedicatedEbsThroughput,attributes.ebsOptimized,attributes.ecu,attributes.elasticGpuType,attributes.enhancedNetworkingSupported,attributes.fromLocation,attributes.fromLocationType,attributes.gpu,attributes.gpuMemory,attributes.group,attributes.groupDescription,attributes.instance,attributes.instanceCapacity10xlarge,attributes.instanceCapacity12xlarge,attributes.instanceCapacity16xlarge,attributes.instanceCapacity18xlarge,attributes.instanceCapacity24xlarge,attributes.instanceCapacity2xlarge,attributes.instanceCapacity32xlarge,attributes.instanceCapacity4xlarge,attributes.instanceCapacity8xlarge,attributes.instanceCapacity9xlarge,attributes.instanceCapacityLarge,attributes.instanceCapacityMedium,attributes.instanceCapacityXlarge,attributes.instanceFamily,attributes.instanceType,attributes.intelAvx2Available,attributes.intelAvxAvailable,attributes.intelTurboAvailable,attributes.licenseModel,attributes.location,attributes.locationType,attributes.maxIopsBurstPerformance,attributes.maxIopsvolume,attributes.maxThroughputvolume,attributes.maxVolumeSize,attributes.memory,attributes.networkPerformance,attributes.normalizationSizeFactor,attributes.operatingSystem,attributes.operation,attributes.physicalCores,attributes.physicalProcessor,attributes.preInstalledSw,attributes.processorArchitecture,attributes.processorFeatures,attributes.provisioned,attributes.servicecode,attributes.servicename,attributes.storage,attributes.storageMedia,attributes.tenancy,attributes.toLocation,attributes.toLocationType,attributes.transferType,attributes.usagetype,attributes.vcpu,attributes.volumeType,productFamily,sku
10319,Used,2.9 GHz,Yes,500 Mbps,,8,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c4.large,,,,No License required,US East (N. Virginia),AWS Region,,,,,3.75 GiB,Moderate,4,SUSE,RunInstances:000g,,Intel Xeon E5-2666 v3 (Haswell),NA,64-bit,Intel AVX; Intel AVX2; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Dedicated,,,,DedicatedUsage:c4.large,2,,Compute Instance,PFVG5HVRU3HK5C4R
10323,Used,,Yes,,,38,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,r5.2xlarge,,,,Bring your own license,US East (N. Virginia),AWS Region,,,,,64 GiB,10 Gigabit,16,Windows,RunInstances:0800,,Intel Xeon Platinum 8175,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Host,,,,HostBoxUsage:r5.2xlarge,8,,Compute Instance,UHF4VGUT3U3PW6AS
10331,Used,2.3 GHz,Yes,1000 Mbps,,23,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,x1e.2xlarge,Yes,Yes,,No License required,US East (N. Virginia),AWS Region,,,,,244 GiB,Up to 10 Gigabit,16,Windows,RunInstances:0002,,High Frequency Intel Xeon E7-8880 v3 (Haswell),NA,64-bit,"Intel AVX, Intel AVX2",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 240 SSD,,Host,,,,HostBoxUsage:x1e.2xlarge,8,,Compute Instance,CB7SJGDA74NZ9PCE
10338,Used,3.0 Ghz,Yes,Upto 2250 Mbps,,68,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c5.4xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,32 GiB,Up to 10 Gigabit,32,RHEL,RunInstances:0010,,Intel Xeon Platinum 8124M,NA,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Dedicated,,,,DedicatedUsage:c5.4xlarge,16,,Compute Instance,VEYRGRFZB8WFUBH3
10344,Used,2.3 GHz,Yes,6000 Mbps,,99,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,h1.8xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,128 GiB,10 Gigabit,64,Linux,RunInstances,,Intel Xeon E5-2686 v4 (Broadwell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,4 x 2000 HDD,,Host,,,,HostBoxUsage:h1.8xlarge,32,,Compute Instance,TUEQ7AFKCASSNQN3
10380,Used,2.3 GHz,Yes,3000 Mbps,,53,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r4.4xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,122 GiB,Up to 10 Gigabit,32,Windows,RunInstances:0102,,Intel Xeon E5-2686 v4 (Broadwell),SQL Ent,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Dedicated,,,,DedicatedUsage:r4.4xlarge,16,,Compute Instance,M62BQXUWYDM97G4U
10388,Used,2.5 GHz,Yes,Upto 2120 Mbps,,16,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m5.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,Up to 10 Gigabit,8,Windows,RunInstances:0002,,Intel Xeon Platinum 8175,NA,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:m5.xlarge,4,,Compute Instance,HXGQ45BFM9J2FJ3F
10425,Used,2.4 GHz,Yes,4000 Mbps,,124.5,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m4.10xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,160 GiB,10 Gigabit,80,Linux,RunInstances:0004,,Intel Xeon E5-2676 v3 (Haswell),SQL Std,64-bit,Intel AVX; Intel AVX2; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Host,,,,HostBoxUsage:m4.10xlarge,40,,Compute Instance,RQ57HUDXQBPB9BP2
10449,Used,,Yes,,,173,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,r5d.12xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,384 GiB,10 Gigabit,96,Windows,RunInstances:0002,,Intel Xeon Platinum 8175,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 900 NVMe SSD,,Shared,,,,BoxUsage:r5d.12xlarge,48,,Compute Instance,FA2G8UWBSMVA56Z4
10492,Used,2.9 GHz,Yes,4000 Mbps,,132,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c4.8xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,60 GiB,10 Gigabit,64,SUSE,RunInstances:000g,,Intel Xeon E5-2666 v3 (Haswell),NA,64-bit,Intel AVX; Intel AVX2; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Dedicated,,,,DedicatedUsage:c4.8xlarge,36,,Compute Instance,K8NM7HNBAX7T4N5U
10503,Used,2.3 GHz,Yes,12000 Mbps,,188,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,h1.16xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,256 GiB,25 Gigabit,128,Linux,RunInstances:0004,,Intel Xeon E5-2686 v4 (Broadwell),SQL Std,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,8 x 2000 HDD,,Host,,,,HostBoxUsage:h1.16xlarge,64,,Compute Instance,FR85Z4K8F982CFWC
10515,Used,2.3 GHz,Yes,3500 Mbps,,53,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,i3.4xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,122 GiB,Up to 10 Gigabit,32,Linux,RunInstances:0004,,Intel Xeon E5-2686 v4 (Broadwell),SQL Std,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,2 x 1900 NVMe SSD,,Dedicated,,,,DedicatedUsage:i3.4xlarge,16,,Compute Instance,3D96985736CA5THE
10524,NA,3.0 Ghz,Yes,4500 Mbps,,141,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c5d.9xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,72 GiB,10 Gigabit,72,Linux,Hourly,,Intel Xeon Platinum 8124M,NA,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 900 NVMe SSD,,NA,,,,EBSOptimized:c5d.9xlarge,36,,Compute Instance,VGRUHJ987NDC884T
10530,Used,2.3 GHz,Yes,,,12,,Yes,,,1,,,,,,,,,,,,,,,,,,GPU instance,p2.xlarge,,,,Bring your own license,US East (N. Virginia),AWS Region,,,,,61 GiB,High,8,Windows,RunInstances:0800,,Intel Xeon E5-2686 v4 (Broadwell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:p2.xlarge,4,,Compute Instance,4QN7HTACSM3CFNUX
10547,Used,3.0 Ghz,Yes,4500 Mbps,,141,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c5d.9xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,72 GiB,10 Gigabit,72,Linux,RunInstances:0200,,Intel Xeon Platinum 8124M,SQL Web,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 900 NVMe SSD,,Dedicated,,,,DedicatedUsage:c5d.9xlarge,36,,Compute Instance,RDKK2YZ2A2U5YUY7
10552,Used,2.3 GHz,Yes,,,94,,Yes,,,8,,,,,,,,,,,,,,,,,,GPU instance,p2.8xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,488 GiB,10 Gigabit,64,SUSE,RunInstances:000g,,Intel Xeon E5-2686 v4 (Broadwell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:p2.8xlarge,32,,Compute Instance,RCQDAE4337AGCJV8
10560,Used,2.5 GHz,No,,,26,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r3.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,61 GiB,High,16,Linux,RunInstances:0100,,Intel Xeon E5-2670 v2 (Ivy Bridge),SQL Ent,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 160 SSD,,Host,,,,HostBoxUsage:r3.2xlarge,8,,Compute Instance,K4CEZJD3WRS6ZHYS
10566,Used,2.4 GHz,Yes,1000 Mbps,,26,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m4.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,32 GiB,High,16,Linux,RunInstances,,Intel Xeon E5-2676 v3 (Haswell),NA,64-bit,Intel AVX; Intel AVX2; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Dedicated,,,,DedicatedUsage:m4.2xlarge,8,,Compute Instance,3KAFWJNHJ6VKA77T
10621,Used,2.3 GHz,Yes,800 Mbps,,13.5,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r4.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,30.5 GiB,Up to 10 Gigabit,8,RHEL,RunInstances:0010,,Intel Xeon E5-2686 v4 (Broadwell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Dedicated,,,,DedicatedUsage:r4.xlarge,4,,Compute Instance,SR2X29MBY6K3S2UM
10645,Used,,Yes,,,53,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,z1d.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,64 GiB,Up to 10 Gigabit,16,RHEL,RunInstances:0010,,Intel Xeon Platinum 8151,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 300 NVMe SSD,,Shared,,,,BoxUsage:z1d.2xlarge,8,,Compute Instance,6QRW5CQRAABPFPEM
10677,Used,2.6 GHz,No,,,104,,,,,4,,,,,,,,,,,,,,,,,,GPU instance,g2.8xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,60 GiB,10 Gigabit,64,SUSE,RunInstances:000g,,Intel Xeon E5-2670 (Sandy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 120 SSD,,Host,,,,HostBoxUsage:g2.8xlarge,32,,Compute Instance,YMKYAYKBFT6QURTQ
10717,Used,2.4 GHz,Yes,450 Mbps,,6.5,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m4.large,,,,No License required,US East (N. Virginia),AWS Region,,,,,8 GiB,Moderate,4,SUSE,RunInstances:000g,,Intel Xeon E5-2676 v3 (Haswell),NA,64-bit,Intel AVX; Intel AVX2; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:m4.large,2,,Compute Instance,QT2HSTX3NZ4XCM9E
10730,Used,2.3 GHz,Yes,,,94,,Yes,,,8,,,,,,,,,,,,,,,,,,GPU instance,p2.8xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,488 GiB,10 Gigabit,64,Windows,RunInstances:0002,,Intel Xeon E5-2686 v4 (Broadwell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Dedicated,,,,DedicatedUsage:p2.8xlarge,32,,Compute Instance,6S9GKQW48P8VUTJ9
10771,Used,2.5 GHz,No,,,13,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r3.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,30.5 GiB,Moderate,8,Linux,RunInstances:0004,,Intel Xeon E5-2670 v2 (Ivy Bridge),SQL Std,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 80 SSD,,Dedicated,,,,DedicatedUsage:r3.xlarge,4,,Compute Instance,VDBK4987XR7EG25W
10780,Used,2.8 GHz,No,,,55,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c3.4xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,30 GiB,High,32,SUSE,RunInstances:000g,,Intel Xeon E5-2680 v2 (Ivy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 160 SSD,,Host,,,,HostBoxUsage:c3.4xlarge,16,,Compute Instance,QF49GBEQA86P5DD3
10783,Used,2.3 GHz,Yes,3500 Mbps,,91,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,x1e.8xlarge,Yes,Yes,Yes,No License required,US East (N. Virginia),AWS Region,,,,,976 GiB,Up to 10 Gigabit,64,Linux,RunInstances,,High Frequency Intel Xeon E7-8880 v3 (Haswell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 960 SSD,,Shared,,,,BoxUsage:x1e.8xlarge,32,,Compute Instance,UC54XWQVHQPRYB9K
10801,Used,2.9 GHz,Yes,4000 Mbps,,132,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c4.8xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,60 GiB,10 Gigabit,64,RHEL,RunInstances:0010,,Intel Xeon E5-2666 v3 (Haswell),NA,64-bit,Intel AVX; Intel AVX2; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Dedicated,,,,DedicatedUsage:c4.8xlarge,36,,Compute Instance,SJ2H8X62JZ6P6N48
10817,Used,2.4 GHz,Yes,2000 Mbps,,53.5,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m4.4xlarge,,,,Bring your own license,US East (N. Virginia),AWS Region,,,,,64 GiB,High,32,Windows,RunInstances:0800,,Intel Xeon E5-2676 v3 (Haswell),NA,64-bit,Intel AVX; Intel AVX2; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Dedicated,,,,DedicatedUsage:m4.4xlarge,16,,Compute Instance,A9YZTVBT2EH2RHUW
10828,Used,2.3 GHz,Yes,7000 Mbps,,179,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,x1e.16xlarge,Yes,Yes,Yes,No License required,US East (N. Virginia),AWS Region,,,,,"1,952 GiB",10 Gigabit,128,Windows,RunInstances:0202,,High Frequency Intel Xeon E7-8880 v3 (Haswell),SQL Web,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 1920 SSD,,Dedicated,,,,DedicatedUsage:x1e.16xlarge,64,,Compute Instance,FENJBKVQ4CNCQN3M
10856,Used,2.5 GHz,No,,,26,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r3.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,61 GiB,High,16,Windows,RunInstances:0002,,Intel Xeon E5-2670 v2 (Ivy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 160 SSD,,Shared,,,,BoxUsage:r3.2xlarge,8,,Compute Instance,A3CMMJ5XHG8YDXAU
10880,Used,2.3 GHz,Yes,6000 Mbps,,99,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,h1.8xlarge,,,,Bring your own license,US East (N. Virginia),AWS Region,,,,,128 GiB,10 Gigabit,64,Windows,RunInstances:0800,,Intel Xeon E5-2686 v4 (Broadwell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,4 x 2000 HDD,,Host,,,,HostBoxUsage:h1.8xlarge,32,,Compute Instance,GMNE4M5PVPF4DQST
10894,Used,2.5 GHz,No,,,26,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r3.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,61 GiB,High,16,Windows,RunInstances:0002,,Intel Xeon E5-2670 v2 (Ivy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 160 SSD,,Host,,,,HostBoxUsage:r3.2xlarge,8,,Compute Instance,EU9WUWRRH3Z8Z25B
10897,AllocatedHost,2.3 GHz,Yes,,,NA,,,,,,,,,,,,1,,,8,,4,2,,,,,Storage optimized,h1,,,,No License required,US East (N. Virginia),AWS Region,,,,,NA,NA,NA,Linux,RunInstances,36,Intel Xeon E5-2686 v4 (Broadwell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,NA,,Host,,,,HostUsage:h1,64,,Dedicated Host,6VBBCHVN4WJ8CFKS
10904,NA,2.5 GHz,Yes,12000 Mbps,,345,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m5d.24xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,384 GiB,25 Gigabit,192,Linux,Hourly,,Intel Xeon Platinum 8175,NA,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,4 x 900 NVMe SSD,,NA,,,,EBSOptimized:m5d.24xlarge,96,,Compute Instance,V6WUBN2WH987K6WK
10911,Used,2.4 GHz,Yes,,,14,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,d2.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,30.5 GiB,Moderate,8,Windows,RunInstances:0102,,Intel Xeon E5-2676v3 (Haswell),SQL Ent,64-bit,Intel AVX; Intel AVX2; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,3 x 2000 HDD,,Shared,,,,BoxUsage:d2.xlarge,4,,Compute Instance,4CYRKREB7U8REQP5
10913,,,,,,,,,,,,,,,T3,,,,,,,,,,,,,,,,,,,,US East (N. Virginia),AWS Region,,,,,,,,Windows,WindowsT3CPUCredits,,,,,,,AmazonEC2,Amazon Elastic Compute Cloud,,,,,,,CPUCredits:t3,,,CPU Credits,QPUYUGZ6G7M7EKDF
10935,Used,,Yes,,,271,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,z1d.12xlarge,,,,Bring your own license,US East (N. Virginia),AWS Region,,,,,384 GiB,25 Gigabit,96,Windows,RunInstances:0800,,Intel Xeon Platinum 8151,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 900 NVMe SSD,,Shared,,,,BoxUsage:z1d.12xlarge,48,,Compute Instance,BAANARRVBDGYGUY7
10946,Used,,Yes,,,28,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,z1d.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,32 GiB,Up to 10 Gigabit,8,RHEL,RunInstances:0010,,Intel Xeon Platinum 8151,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 150 NVMe SSD,,Host,,,,HostBoxUsage:z1d.xlarge,4,,Compute Instance,9RQGFD8K8WU9BQDP
10950,Used,2.3 GHz,Yes,425 Mbps,,7,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,i3.large,,,,No License required,US East (N. Virginia),AWS Region,,,,,15.25 GiB,Up to 10 Gigabit,4,Windows,RunInstances:0006,,Intel Xeon E5-2686 v4 (Broadwell),SQL Std,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 475 NVMe SSD,,Dedicated,,,,DedicatedUsage:i3.large,2,,Compute Instance,WWYHV89KB5YJVTSF
10966,Used,2.5 GHz,Yes,12000 Mbps,,345,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m5d.24xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,384 GiB,25 Gigabit,192,Windows,RunInstances:0002,,Intel Xeon Platinum 8175,NA,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,4 x 900 NVMe SSD,,Host,,,,HostBoxUsage:m5d.24xlarge,96,,Compute Instance,VQ2X2X4RFDCZMNXD
10969,Used,2.5 GHz,Yes,12000 Mbps,,345,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m5.24xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,384 GiB,25 Gigabit,192,Windows,RunInstances:0202,,Intel Xeon Platinum 8175,SQL Web,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Host,,,,HostBoxUsage:m5.24xlarge,96,,Compute Instance,2V3EHEXPVT7AYTZN
10975,Used,3.0 Ghz,Yes,Upto 2250 Mbps,,9,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c5d.large,,,,No License required,US East (N. Virginia),AWS Region,,,,,4 GiB,Up to 10 Gigabit,4,Windows,RunInstances:0006,,Intel Xeon Platinum 8124M,SQL Std,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 50 NVMe SSD,,Host,,,,HostBoxUsage:c5d.large,2,,Compute Instance,EDDPN52QQW9GEZJK
10989,Used,3.0 Ghz,Yes,9000 Mbps,,281,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c5d.18xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,144 GiB,25 Gigabit,144,Linux,RunInstances:0004,,Intel Xeon Platinum 8124M,SQL Std,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 1800 NVMe SSD,,Dedicated,,,,DedicatedUsage:c5d.18xlarge,72,,Compute Instance,T2EY863C2T449VQF
10997,Used,2.4 GHz,Yes,4000 Mbps,,124.5,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m4.10xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,160 GiB,10 Gigabit,80,Linux,RunInstances:0100,,Intel Xeon E5-2676 v3 (Haswell),SQL Ent,64-bit,Intel AVX; Intel AVX2; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Dedicated,,,,DedicatedUsage:m4.10xlarge,40,,Compute Instance,7RUSFSD2QQCXS2Y6
11000,AllocatedHost,2.6 GHz,No,,,NA,,,,,4,,,,,,,,,,,,,,,,,,GPU instance,g2,,,,No License required,US East (N. Virginia),AWS Region,,,,,NA,NA,NA,Linux,RunInstances,,Intel Xeon E5-2670 (Sandy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,NA,,Host,,,,HostUsage:g2,32,,Dedicated Host,VMRHNZ3YYYGM22ZW
11011,Used,,Yes,,,38,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,r5d.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,64 GiB,10 Gigabit,16,Windows,RunInstances:0002,,Intel Xeon Platinum 8175,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 300 NVMe SSD,,Shared,,,,BoxUsage:r5d.2xlarge,8,,Compute Instance,NHEK4WCHVK2ASJYH
11028,Used,2.5 GHz,Yes,Upto 2120 Mbps,,16,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m5d.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,Up to 10 Gigabit,8,Windows,RunInstances:0202,,Intel Xeon Platinum 8175,SQL Web,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 150 NVMe SSD,,Dedicated,,,,DedicatedUsage:m5d.xlarge,4,,Compute Instance,HGY2SUZAMSU9QABQ
11030,Used,,Yes,,,71,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,r5d.4xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,128 GiB,10 Gigabit,32,Windows,RunInstances:0002,,Intel Xeon Platinum 8175,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 300 NVMe SSD,,Shared,,,,BoxUsage:r5d.4xlarge,16,,Compute Instance,MRK8P9PGZKDPVUW7
11048,Used,,Yes,,,173,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,r5d.12xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,384 GiB,10 Gigabit,96,Windows,RunInstances:0006,,Intel Xeon Platinum 8175,SQL Std,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 900 NVMe SSD,,Shared,,,,BoxUsage:r5d.12xlarge,48,,Compute Instance,UZXA7ZPPX4DJ3GWN
11089,Used,2.3 GHz,Yes,,,174.5,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,x1.16xlarge,Yes,Yes,Yes,No License required,US East (N. Virginia),AWS Region,,,,,976 GiB,High,128,Linux,RunInstances:0200,,High Frequency Intel Xeon E7-8880 v3 (Haswell),SQL Web,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 1920 SSD,,Dedicated,,,,DedicatedUsage:x1.16xlarge,64,,Compute Instance,Y8P4RCWWK7ZT7C8B
11107,Used,2.9 GHz,Yes,1000 Mbps,,31,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c4.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,15 GiB,High,16,Windows,RunInstances:0202,,Intel Xeon E5-2666 v3 (Haswell),SQL Web,64-bit,Intel AVX; Intel AVX2; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:c4.2xlarge,8,,Compute Instance,AKXXTUNGEUFY2NYA
